neighbourhood,average_price
Allerton,90.5945945945946
Arden Heights,67.25
Arrochar,118.25
Arverne,158.5151515151515
Astoria,116.01833568406207
Bath Beach,84.8
Battery Park City,182.19444444444446
Bay Ridge,105.37391304347825
Bay Terrace,118.8
"Bay Terrace, Staten Island",102.5
Baychester,78.0
Bayside,178.1290322580645
Bayswater,92.27272727272727
Bedford-Stuyvesant,106.09403889065986
Belle Harbor,166.4
Bellerose,80.5
Belmont,79.45
Bensonhurst,77.21311475409836
Bergen Beach,105.75
Boerum Hill,167.76190476190476
Borough Park,64.4
Breezy Point,195.0
Briarwood,101.24444444444444
Brighton Beach,87.28813559322033
Bronxdale,51.875
Brooklyn Heights,201.95967741935485
Brownsville,76.05454545454545
Bull's Head,48.0
Bushwick,85.26095925734914
Cambria Heights,83.4375
Canarsie,96.23703703703704
Carroll Gardens,178.8989898989899
Castle Hill,74.0
Castleton Corners,182.0
Chelsea,221.7944377267231
Chinatown,157.46417445482865
City Island,94.26666666666667
Civic Center,169.83333333333334
Claremont Village,68.9375
Clason Point,101.33333333333333
Clifton,84.92307692307692
Clinton Hill,176.15833333333333
Co-op City,77.5
Cobble Hill,193.4318181818182
College Point,93.0
Columbia St,133.57142857142858
Concord,60.583333333333336
Concourse,77.95121951219512
Concourse Village,73.16666666666667
Coney Island,125.6
Corona,56.932203389830505
Crown Heights,111.63083003952569
Cypress Hills,130.968
DUMBO,178.375
Ditmars Steinway,92.90283400809717
Dongan Hills,79.42857142857143
Douglaston,82.75
Downtown Brooklyn,152.28070175438597
Dyker Heights,95.0909090909091
East Elmhurst,81.22222222222223
East Flatbush,106.65727699530517
East Harlem,132.74655355249206
East Morrisania,94.44444444444444
East New York,87.1875
East Village,174.77635997313632
Eastchester,124.9
Edenwald,84.55555555555556
Edgemere,94.625
Elmhurst,80.14432989690722
Eltingville,63.0
Emerson Hill,69.0
Far Rockaway,72.5
Fieldston,75.08333333333333
Financial District,218.75049115913555
Flatbush,94.55443548387096
Flatiron District,291.48275862068965
Flatlands,97.93939393939394
